Season,Year,Name,Age,Hometown,Occupation,Eliminated
5,2004,Jessica Bowlin,22,"Huntington Beach, California",Student,Winner
5,2004,Tara Huckeby,23,"Shawnee, Oklahoma",General contractor,Week 7
5,2004,Mandy Jaye Jeffreys,26,"Midland, Texas",Designer for an architect firm,Week 6
5,2004,Trish Spear,28,"Atlanta, Georgia",Model,Week 5
5,2004,Suzie Williams,23,"Dearborn, Michigan",Prosthetic technician,Week 4
5,2004,Karen Lindsay,28,"Pleasant Grove, Utah",Pharmaceutical sales,Week 4
5,2004,Jessica Holcomb,25,"Pearsall, Texas",Attorney,Week 3
5,2004,Julie Durda,24,"Sacramento, California",Professional Cheerleader,Week 3
5,2004,Jenny De Schiralli,26,"Carrboro, North Carolina",Swim instructor/nanny/personal trainer,Week 3
5,2004,Katie Gehart,22,"Scottsdale, Arizona",LASIK Eye and Skin Center manager,Week 3
5,2004,Jean-Marie Callahan,26,"Gibson, North Carolina",Hair stylist,Week 2
5,2004,Debbie Merkett,27,"Pinetops, North Carolina",Massage therapist/bartender,Week 2
5,2004,Anne-Catherine Labbé,27,"Quebec City, Quebec",Model/make-up artist,Week 2
5,2004,Amber LaRoux,27,"Sunriver, Oregon",Consultant,Week 2
5,2004,Mandy Clemens,25,"San Diego, California",Professional soccer player,Week 2
5,2004,Kristy Romero,25,"Dearborn, Michigan",Student,Week 2
5,2004,Celeste DaHilli,24,"Ithaca, New York",Model/executive assistant,Week 2
5,2004,Jenny Matthews,24,"Canton, Michigan",Retail manager,Week 2
5,2004,Dolores Farburg,26,"Phillipsburg, New Jersey",Account manager,Week 1
5,2004,Francine Jones,25,"Houston, Texas",Retail manager,Week 1
5,2004,DeShaun Warner,25,"Phillipsburg, New Jersey",Account manager/sales,Week 1
5,2004,Jessica Kyron,21,"Cincinnati, Ohio",Student,Week 1
5,2004,Holly Reeder,26,"Tulsa, Oklahoma",Bank reprentative,Week 1
5,2004,Rachel Clementi,26,"Buffalo, New York",Fashion public relations manager,Week 1
5,2004,Kristin Clearwater,25,"Sausalito, California",Singer,Week 1
9,2006,Jennifer Wilson,24,"Pembroke Pines, FL",Teacher,Winner
9,2006,Sadie Murray,23,"Carlsbad, CA",Publicist,Week 7
9,2006,Lisa Blank,25,"Portland, OR",Marketing manager,Week 6
9,2006,Agnese Polliza,24,"Venice, Italy",Student,Week 5
9,2006,Jeanette Pawula,23,"Bloomingdale, IL",Teacher,Week 4
9,2006,Desiree Valentin,22,"Salt Lake City, UT",Realtor,Week 4
9,2006,Jami Matzke,27,"Galveston, TX",Event planner,Week 3
9,2006,Gina Clark,28,"Chicago, IL",Ultrasound technician,Week 3
9,2006,Erica Rose,23,"Houston, TX",Socialite,Week 3
9,2006,Sarah Schnare,30,"Nelson, BC",Journalist,Week 2
9,2006,Kim Jackson,27,"Newport Beach, CA",Interior designer,Week 2
9,2006,Ellen DeMaio,30,"New Haven, CT",Realtor,Week 2
9,2006,Tara Durr,24,"St. Augustine, FL",Realtor,Week 1
9,2006,Rosella Fratto,27,"Chicago, IL",Make-up artist,Week 1
9,2006,Rita Ghazal,29,"Richmond, VA",Policy advisor,Week 1
9,2006,Renee Snell,30,"Baltimore, MD",Broadcast marketer,Week 1
9,2006,Meri Barr,27,"Biloxi, MS",Attorney,Week 1
9,2006,Laura Morgan,29,"San Diego, CA",Dolphin trainer,Week 1
9,2006,Jessica Horner,25,"Charlotte, NC",Assistant buyer,Week 1
9,2006,Heather Sneed,34,"Aliquippa, PA",Registered nurse,Week 1
9,2006,Elyse Greenebaum,27,"New York, NY",Physician,Week 1
9,2006,Cosetta Blanca,,Italy,Dancer,Week 1
9,2006,Claudia Gismondi,22,"Boca Raton, FL",Restaurateur,Week 1
9,2006,Carissa Ilburg,25,"Cattaraugus, NY",Attorney,Week 1
9,2006,Brit Keeder,28,"Columbus, OH",Beer chemist,Week 1
9,2006,Andrea Shirley,28,"Cincinnati, OH",Hotel concierge,Week 1
9,2006,April Jacobs,23,"Chicago, IL",Model,Week 1
10,2007,Tessa Horst,26,"San Francisco, CA",Social Worker,Winner
10,2007,Bevin Nicole Powers,28,"Palo Alto, CA",Assistant,Week 8
10,2007,Danielle Imwalle,25,"Bethel, CT",Graphic Designer,Week 7
10,2007,Amber Alchalabi,23,"Sugar Land, TX",Teacher,Week 6
10,2007,Stephanie Wilhite,23,"Overland Park, KS",Project Manager,Week 5
10,2007,Tina Wu,26,"Los Angeles, CA",Medical student,Week 5
10,2007,Kate Brockhouse,24,"Charleston, SC",Boutique owner,Week 4
10,2007,Nicole Clary,26,"Charleston, SC",Sales Manager,Week 4
10,2007,Stephanie Tipper,27,"Folly Beach, SC",Organ donor coordinator,Week 4
10,2007,Amanda Hackney,26,"Dallas, TX",Financial analyst,Week 3
10,2007,Erin Parker,24,"Logansport, LA",Financial analyst,Week 3
10,2007,Peyton Wright,24,"Dallas, TX",Sorority recruiter,Week 3
10,2007,Alexis Young,26,"Southlake, TX",Attorney,Week 2
10,2007,Susan Anderson,23,"The Woodlands, TX",Boutique manager,Week 2
10,2007,Tiffany Warren,28,"Boston, MA",Medical equipment sales rep,Week 2
10,2007,Blakeney Rowe,29,"Birmingham, AL",Radio sales,Week 1
10,2007,Candace DeCost,23,"Hilton Head Island, SC",Waitress,Week 1
10,2007,Catherine Warren,23,"Lake Forest, IL",Former Miss Illinois,Week 1
10,2007,Danielle Vallis,26,"Bronx, NY",Attorney,Week 1
10,2007,Jackie Topelli,23,"Minneapolis, MN",Executive coordinator,Week 1
10,2007,Jeanette Alvarez,27,"Tampa, FL",Health care manager,Week 1
10,2007,Jessica Devallo,32,"New York, NY",Hedge fund analyst,Week 1
10,2007,Linda Malek,33,"Cuyahoga Falls, OH",Attorney,Week 1
10,2007,Lindsay Smith,22,"Lawrence, KS",Student,Week 1
10,2007,Tiffany Forester,27,"St. Louis Park, MN",Real estate sales/development,Week 1
11,2007,Deanna Pappas,25,"Newnan, GA",Realtor,Week 8
11,2007,Jenni Croft,27,"Wichita, KS",Phoenix Suns Cheerleader,Week 8
11,2007,Bettina Bell,27,"Washington, D.C.",Realtor,Week 7
11,2007,Sheena Stewart,23,"Walnut Creek, CA",Internet marketing executive,Week 6
11,2007,Hillary Reisinger,27,"Philadelphia, PA",Registered nurse,Week 5
11,2007,Kristy Katzmann,29,"Chicago, IL",Acupuncturist,Week 5
11,2007,"Estefania ""Stephy"" Kootz",26,"Atlanta, GA",Executive assistant,Week 4
11,2007,Jade Beazley,24,"Nashville, TN",Boutique sales worker,Week 4
11,2007,McCarten Delaney,26,"San Diego, CA",Account manager,Week 4
11,2007,Lindsey Hawkins,25,"Livonia, MI",Model,Week 3
11,2007,Sarah Newlon,23,"O'Fallon, IL",Bar manager,Week 3
11,2007,Solisa Shoop,25,"Georgetown, TX",Esthetician,Week 3
11,2007,Michele Leavy,30,"South Brunswick, NJ",Realtor,Week 2
11,2007,Mallory Simons,24,"Honolulu, HI",Nanny,Week 2
11,2007,Erin Gardner,25,"Tampa, FL",Publishing sales executive,Week 2
11,2007,Jessica Kiss,27,"Lady Lake, FL",News anchor,Week 1
11,2007,Juli Gilliam,24,"Chicago, IL",Law student,Week 1
11,2007,Kim Orville,31,"Woodbridge, CT",Realtor,Week 1
11,2007,Lori Langley,33,"Annapolis, MD",Biology teacher,Week 1
11,2007,Melissa Buschel,28,"Westchester, NY",Event planner,Week 1
11,2007,Morgan Becker,24,"Tempe, AZ",Graduate student,Week 1
11,2007,Natalie Penner,25,"Duncanville, TX",Law student,Week 1
11,2007,Regina Doringa,31,"San Diego, CA",Account representative,Week 1
11,2007,Tauni Nessler ,31,"St. Louis Park, MN",Emergency room nurse,Week 1
11,2007,Susan Stein,35,"St. Charles, IL",Project analyst,Week 1
